FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.490048,490048,POINT (16.274767605176997 48.15454460762291),Maurer Friedhof,Maurer Friedhof,56A,853,2,
OEFFHALTESTOGD.490049,490049,POINT (16.270835071862642 48.15451106320632),Franz-Asenbauer-Gasse,Franz-Asenbauer-Gasse,56A,343,2,
OEFFHALTESTOGD.490050,490050,POINT (16.270025833024 48.1637184921988),Buchbindergasse,Buchbindergasse,56A,181,2,
OEFFHALTESTOGD.490051,490051,POINT (16.27764379028496 48.1673346733179),Strampfergasse,Strampfergasse,"56A, 56B",1602,2,
OEFFHALTESTOGD.490052,490052,POINT (16.296127413411632 48.17000572350059),Atzgersdorfer Straße,Atzgersdorfer Straße,58A,96,2,
OEFFHALTESTOGD.490053,490053,POINT (16.29589855882233 48.169535573834594),Atzgersdorfer Straße,Atzgersdorfer Straße,58A,96,2,
OEFFHALTESTOGD.490054,490054,POINT (16.290106105665394 48.15313967123792),Endemanngasse,Endemanngasse,56A,278,2,
OEFFHALTESTOGD.490055,490055,POINT (16.259515916673543 48.166888185548764),Kleiner Ring,Kleiner Ring,56B,686,2,
OEFFHALTESTOGD.490056,490056,POINT (16.38638742111359 48.22050645185942),Rueppgasse,Rueppgasse,"58B, 5B",1130,2,
OEFFHALTESTOGD.490057,490057,POINT (16.382101438171915 48.22159667891758),Taborstraße/Heinestraße,Taborstraße/Heinestraße,"58B, 5B",494,2,
OEFFHALTESTOGD.490058,490058,POINT (16.380419533443938 48.219279057375346),Taborstraße,Taborstraße,"58B, 5B",1891,2,
OEFFHALTESTOGD.490059,490059,POINT (16.376351540687665 48.22012480814362),Leopoldsgasse,Leopoldsgasse,5A,824,2,
OEFFHALTESTOGD.490060,490060,POINT (16.370199866502215 48.226701402902314),Gaußplatz,Gaußplatz,"58B, 5B",380,2,
OEFFHALTESTOGD.490061,490061,POINT (16.37017621507185 48.23325468327075),Brigittaplatz,Brigittaplatz,"58B, 5B",170,2,
OEFFHALTESTOGD.490062,490062,POINT (16.37029519704497 48.235901764021854),Jägerstraße,Jägerstraße,"58B, 5B",1667,2,
OEFFHALTESTOGD.490063,490063,POINT (16.366496228065518 48.24559192994114),Muthgasse,Muthgasse,"11A, 58B, 5B",897,2,
OEFFHALTESTOGD.490064,490064,POINT (16.328296239027303 48.172107206015355),Wienerbergbrücke,Wienerbergbrücke,7A,1477,2,
OEFFHALTESTOGD.490065,490065,POINT (16.337824133704 48.17100000244856),Eibesbrunnergasse,Eibesbrunnergasse,"15A, 7A",264,2,
OEFFHALTESTOGD.490066,490066,POINT (16.34476257277833 48.169973613588844),Gesundheitszentrum Süd,Gesundheitszentrum Süd,"15A, 63A, 7A",53,2,
OEFFHALTESTOGD.490067,490067,POINT (16.297431760021013 48.17505979241776),Montecuccoliplatz,Montecuccoliplatz,8A,888,2,
OEFFHALTESTOGD.490068,490068,POINT (16.305405463857415 48.17106198246615),Am Fasangarten,Am Fasangarten,8A,37,2,
OEFFHALTESTOGD.490069,490069,POINT (16.312931954631946 48.17446111350095),Gaßmannstraße,Gaßmannstraße,"63A, 8A",381,2,
OEFFHALTESTOGD.490070,490070,POINT (16.312931954631946 48.17446111350095),Gaßmannstraße,Gaßmannstraße,"63A, 8A",381,2,
OEFFHALTESTOGD.490071,490071,POINT (16.326248355890364 48.1740797941154),Hohenbergstraße,Hohenbergstraße,"7A, 8A",542,2,
OEFFHALTESTOGD.490072,490072,POINT (16.331394798615086 48.17441124928093),Bhf. Meidling,Bhf. Meidling,"62A, 8A",1015,2,
OEFFHALTESTOGD.490073,490073,POINT (16.32226710848263 48.18047529475809),Tivoligasse,Tivoligasse,9A,1249,2,
OEFFHALTESTOGD.490074,490074,POINT (16.32107921829189 48.17893216999277),Schwenkgasse,Schwenkgasse,9A,1212,2,
OEFFHALTESTOGD.490075,490075,POINT (16.334351824024335 48.17551707843532),Dörfelstraße,Dörfelstraße,9A,865,2,
OEFFHALTESTOGD.490076,490076,POINT (16.364510580312288 48.248975284842395),Bhf. Heiligenstadt,Bhf. Heiligenstadt,"10A, 39A",491,2,
OEFFHALTESTOGD.490077,490077,POINT (16.356657968405884 48.244590914598646),Barawitzkagasse,Barawitzkagasse,"10A, 39A",109,2,
OEFFHALTESTOGD.490078,490078,POINT (16.349353017763942 48.238964034764784),Gatterburggasse,Gatterburggasse,"10A, 35A",376,2,
OEFFHALTESTOGD.490079,490079,POINT (16.334116084313273 48.23709604282063),Dänenstraße,Dänenstraße,"10A, 40A",251,2,
OEFFHALTESTOGD.490080,490080,POINT (16.32723312715778 48.22763756957032),Czartoryskigasse,Czartoryskigasse,"10A, 42A",217,2,
OEFFHALTESTOGD.490081,490081,POINT (16.32119482920667 48.22121858620261),"Hernals, Wattgasse","Hernals, Wattgasse",10A,508,2,
OEFFHALTESTOGD.490082,490082,POINT (16.31875381042462 48.211013608182),Schuhmeierplatz,Schuhmeierplatz,10A,1190,2,
OEFFHALTESTOGD.490083,490083,POINT (16.31893197515799 48.19873129397504),Johnstraße,Johnstraße,10A,606,2,
OEFFHALTESTOGD.490084,490084,POINT (16.316640045363354 48.192859653087154),Linzer Straße/Johnstraße,Linzer Straße/Johnstraße,10A,1158,2,
OEFFHALTESTOGD.490085,490085,POINT (16.3139572539231 48.18707473806902),Schloss Schönbrunn,Schloss Schönbrunn,10A,1176,2,
OEFFHALTESTOGD.490086,490086,POINT (16.319821098728504 48.18622769536016),Schönbrunn,Schönbrunn,10A,1211,2,
OEFFHALTESTOGD.490087,490087,POINT (16.32814813279071 48.18317557051313),Meidling Hauptstraße,Meidling Hauptstraße,"10A, 63A",863,2,
OEFFHALTESTOGD.490088,490088,POINT (16.32940716798189 48.18371145954004),Meidling Hauptstraße,Meidling Hauptstraße,"10A, 63A",863,2,
OEFFHALTESTOGD.490089,490089,POINT (16.45523838766393 48.150869318218064),Leberweg,Leberweg,71A,1699,2,
OEFFHALTESTOGD.490090,490090,POINT (16.45209580269075 48.15186934930444),Zentralfriedhof 4.Tor,Zentralfriedhof 4.Tor,71A,1523,2,
OEFFHALTESTOGD.490091,490091,POINT (16.470030643880218 48.16010455208233),"Kaiserebersdorf, Zinnergasse","Kaiserebersdorf, Zinnergasse","71B, 73A",639,2,
OEFFHALTESTOGD.490092,490092,POINT (16.42617991639031 48.16786406672471),Geringergasse,Geringergasse,73A,390,2,
OEFFHALTESTOGD.490093,490093,POINT (16.43172243908116 48.16545253828579),Florian-Hedorfer-Straße,Florian-Hedorfer-Straße,73A,332,2,
OEFFHALTESTOGD.490094,490094,POINT (16.430751347354107 48.16572614771378),Florian-Hedorfer-Straße,Florian-Hedorfer-Straße,73A,332,2,
OEFFHALTESTOGD.490095,490095,POINT (16.44995564088069 48.160833116143834),Luzegasse,Luzegasse,73A,915,2,
OEFFHALTESTOGD.490096,490096,POINT (16.45710497430033 48.16026628031084),Pantucekgasse,Pantucekgasse,73A,991,2,
OEFFHALTESTOGD.490097,490097,POINT (16.453556330618365 48.15869659794976),Kaiserebersdorfer Friedhof,Kaiserebersdorfer Friedhof,73A,638,2,
OEFFHALTESTOGD.490098,490098,POINT (16.42737148740849 48.17972157043863),Haidestraße,Haidestraße,72A,465,2,
OEFFHALTESTOGD.490099,490099,POINT (16.426947492784105 48.17907185401324),Haidestraße,Haidestraße,72A,465,2,
OEFFHALTESTOGD.490100,490100,POINT (16.265796028559418 48.200536248777034),Linzer Straße/Flötzersteig,Linzer Straße/Flötzersteig,47B,1789,2,
OEFFHALTESTOGD.490101,490101,POINT (16.29650637754616 48.14627857770794),Brunner Straße/Erlaaer Straße,Brunner Straße/Erlaaer Straße,66A,174,2,
OEFFHALTESTOGD.490102,490102,POINT (16.349939893956307 48.19853706497706),Neubaugasse,Neubaugasse,13A,56,2,
OEFFHALTESTOGD.490103,490103,POINT (16.35189739905221 48.20528877908223),Kellermanngasse,Kellermanngasse,48A,664,2,
OEFFHALTESTOGD.490104,490104,POINT (16.34841575705546 48.21341933381996),Laudongasse,Laudongasse,13A,753,2,
OEFFHALTESTOGD.490105,490105,POINT (16.34899111291037 48.20379630139819),Neubaugasse/Burggasse,Neubaugasse/Burggasse,13A,920,2,
OEFFHALTESTOGD.490106,490106,POINT (16.325274835911802 48.197833661712494),Huglgasse,Huglgasse,12A,556,2,
OEFFHALTESTOGD.490107,490107,POINT (16.320207074628044 48.19901117896479),Johnstraße,Johnstraße,12A,606,2,
OEFFHALTESTOGD.490108,490108,POINT (16.314146854073165 48.20132376714237),Schanzstraße/Akkonplatz,Schanzstraße/Akkonplatz,12A,1713,2,
OEFFHALTESTOGD.490109,490109,POINT (16.331326871365892 48.18994970098214),Henriettenplatz,Henriettenplatz,12A,501,2,
OEFFHALTESTOGD.490110,490110,POINT (16.3429795304563 48.187232872250895),Gaudenzdorfer Gürtel,Gaudenzdorfer Gürtel,12A,379,2,
OEFFHALTESTOGD.490111,490111,POINT (16.349009473520606 48.18871095346549),Am Hundsturm,Am Hundsturm,12A,41,2,
OEFFHALTESTOGD.490112,490112,POINT (16.351929841522146 48.18942868407772),Reinprechtsdorfer Brücke,Reinprechtsdorfer Brücke,12A,1085,2,
OEFFHALTESTOGD.490113,490113,POINT (16.332632412321537 48.187971304140575),Stiegergasse,Stiegergasse,"12A, 57A",1324,2,
OEFFHALTESTOGD.490114,490114,POINT (16.402875326789317 48.223301934291285),Lassallestraße,Lassallestraße,"11A, 11B",752,2,
OEFFHALTESTOGD.490115,490115,POINT (16.389444065062065 48.23615077627565),Engerthstraße/Traisengasse,Engerthstraße/Traisengasse,"11A, 11B",280,2,
OEFFHALTESTOGD.490116,490116,POINT (16.369393577678856 48.2454717611543),Dr.-Adolf-Schärf-Heim,Dr.-Adolf-Schärf-Heim,11A,244,2,
OEFFHALTESTOGD.490117,490117,POINT (16.364293554288984 48.24843243664033),Bhf. Heiligenstadt,Bhf. Heiligenstadt,11A,491,2,
OEFFHALTESTOGD.490118,490118,POINT (16.40751237521251 48.22134044383092),Hillerstraße,Hillerstraße,"11A, 11B",523,2,
OEFFHALTESTOGD.490119,490119,POINT (16.407009851896138 48.22065751340889),Hillerstraße,Hillerstraße,11B,523,2,
OEFFHALTESTOGD.490120,490120,POINT (16.307330535009527 48.243396284513466),Khevenhüllerstraße,Khevenhüllerstraße,41A,673,2,
OEFFHALTESTOGD.490121,490121,POINT (16.327167251234098 48.22796674575678),Czartoryskigasse,Czartoryskigasse,42A,217,2,
OEFFHALTESTOGD.490122,490122,POINT (16.320904896164706 48.22164479524221),"Hernals, Wattgasse","Hernals, Wattgasse",42A,508,2,
OEFFHALTESTOGD.490123,490123,POINT (16.28798026120057 48.250454325288686),Keylwerthgasse,Keylwerthgasse,"43A, 43B",672,2,
OEFFHALTESTOGD.490124,490124,POINT (16.25719066638988 48.20230504097897),Bergmillergasse,Bergmillergasse,"43B, 52A, 52B",123,2,
OEFFHALTESTOGD.490125,490125,POINT (16.310805390650415 48.21188152142257),Ottakring,Ottakring,"45A, 46A, 46B",981,2,
OEFFHALTESTOGD.490126,490126,POINT (16.309684283522827 48.2130270412693),Stillfriedplatz,Stillfriedplatz,"45A, 46A, 46B",1759,2,
OEFFHALTESTOGD.490127,490127,POINT (16.27828542665986 48.215310482498474),Feuerwache Am Steinhof,Feuerwache Am Steinhof,"46A, 46B",311,2,
OEFFHALTESTOGD.490128,490128,POINT (16.40578962999003 48.221066084627964),Jungstraße,Jungstraße,"11A, 11B",620,2,
OEFFHALTESTOGD.490129,490129,POINT (16.286006896621064 48.22535362722299),Röntgengasse,Röntgengasse,44A,719,2,
OEFFHALTESTOGD.490130,490130,POINT (16.424099344095875 48.158203243674805),Pretschgasse,Pretschgasse,69A,1045,2,
OEFFHALTESTOGD.490131,490131,POINT (16.344094300664167 48.148432054538816),Sterngasse,Sterngasse,"66A, 67A",1322,2,
OEFFHALTESTOGD.490132,490132,POINT (16.448655360333152 48.23161687577723),Polgarstraße,Polgarstraße,"26A, 94A",1031,2,
OEFFHALTESTOGD.490133,490133,POINT (16.3723270528739 48.17265129043207),Arthaberplatz,Arthaberplatz,7A,86,2,
OEFFHALTESTOGD.490134,490134,POINT (16.21462588784022 48.20948929728892),Herzmanskystraße,Herzmanskystraße,50A,2004,2,
OEFFHALTESTOGD.490135,490135,POINT (16.344418950417285 48.27894543573524),Leopoldsberg,Leopoldsberg,38A,775,2,
OEFFHALTESTOGD.490136,490136,POINT (16.42428760978377 48.22555489553178),Mendelssohngasse,Mendelssohngasse,"92A, 92B",884,2,
OEFFHALTESTOGD.490137,490137,POINT (16.36354477784965 48.17406594665596),Fernkorngasse,Fernkorngasse,7A,127,2,
OEFFHALTESTOGD.490138,490138,POINT (16.2732736853149 48.17758023718413),"Lainz, Wolkersbergenstraße","Lainz, Wolkersbergenstraße","54A, 54B",1505,2,
OEFFHALTESTOGD.490139,490139,POINT (16.34229477738889 48.255725664923816),Grinzing,Grinzing,38A,426,2,
OEFFHALTESTOGD.490140,490140,POINT (16.44339452592242 48.25071418621293),Kagraner Platz,Kagraner Platz,24A,633,2,
OEFFHALTESTOGD.490141,490141,POINT (16.47627724973612 48.275281977833),Wagramer Straße/Ostbahn,Wagramer Straße/Ostbahn,25A,979,2,
OEFFHALTESTOGD.490142,490142,POINT (16.237020423568595 48.20475243698852),Wolf in der Au,Wolf in der Au,50A,1482,2,
OEFFHALTESTOGD.490143,490143,POINT (16.280881018411684 48.250638397914024),Promenadeweg,Promenadeweg,43A,1246,2,
OEFFHALTESTOGD.490144,490144,POINT (16.21781829249433 48.2076484659823),Auhof,Auhof,"50A, 50B",323,2,
OEFFHALTESTOGD.490145,490145,POINT (16.465333327822947 48.20880914736177),Schierlinggrundbrücke,Schierlinggrundbrücke,95A,140,2,
OEFFHALTESTOGD.490146,490146,POINT (16.261985531424248 48.14452630109251),Maurer Berg,Maurer Berg,60A,852,2,
OEFFHALTESTOGD.490147,490147,POINT (16.261334178667436 48.13428286654863),Rodaun,Rodaun,60A,1105,2,
OEFFHALTESTOGD.490148,490148,POINT (16.316621815095317 48.16516053021591),Breitenfurter Straße/Altmannsdorfer Straße,Breitenfurter Straße/Altmannsdorfer Straße,64A,35,2,
OEFFHALTESTOGD.490149,490149,POINT (16.49912013827307 48.2545188378893),Ginsterweg,Ginsterweg,"85A, 97A",1774,2,
OEFFHALTESTOGD.490150,490150,POINT (16.32949599345046 48.196243596252266),Schmelzbrücke,Schmelzbrücke,12A,1179,2,
OEFFHALTESTOGD.490151,490151,POINT (16.235967236014133 48.21242856417121),Glossystraße,Glossystraße,"49A, 50B",409,2,
OEFFHALTESTOGD.490152,490152,POINT (16.427866234223846 48.26721340430379),Siemensstraße/Heinrich-von-Buol-Gasse,Siemensstraße/Heinrich-von-Buol-Gasse,31A,495,2,
OEFFHALTESTOGD.490153,490153,POINT (16.464137693641533 48.26146403575052),Rautenweg,Rautenweg,27A,1122,2,
OEFFHALTESTOGD.490154,490154,POINT (16.3856860578655 48.220533142343925),Rueppgasse,Rueppgasse,"58B, 5B",1130,2,
OEFFHALTESTOGD.490155,490155,POINT (16.267922518964717 48.187900552536846),Wolfrathplatz,Wolfrathplatz,"53A, 54A, 54B",1504,2,
OEFFHALTESTOGD.490156,490156,POINT (16.313294740887486 48.17416833279323),Gaßmannstraße,Gaßmannstraße,"63A, 8A",381,2,
OEFFHALTESTOGD.490157,490157,POINT (16.389524332861008 48.266692421483846),Obergfellplatz,Obergfellplatz,"36A, 36B",968,2,
OEFFHALTESTOGD.490158,490158,POINT (16.374761319665033 48.23328039719908),Brigittagasse,Brigittagasse,5A,169,2,
OEFFHALTESTOGD.490159,490159,POINT (16.40677452742853 48.174389747661166),Geiselbergstraße,Geiselbergstraße,69A,484,2,
OEFFHALTESTOGD.490160,490160,POINT (16.454205718734986 48.27736687014308),Adolf-Loos-Gasse,Adolf-Loos-Gasse,29A,6,2,
OEFFHALTESTOGD.490161,490161,POINT (16.35242209361264 48.14085995919791),Tenschertstraße,Tenschertstraße,"17A, 66A, 67A",1370,2,
OEFFHALTESTOGD.490162,490162,POINT (16.395593332643006 48.211450099493604),Kurzbauergasse,Kurzbauergasse,80A,730,2,
OEFFHALTESTOGD.490163,490163,POINT (16.26008753625872 48.20379070106472),Steinböckengasse,Steinböckengasse,47B,1617,2,
OEFFHALTESTOGD.490164,490164,POINT (16.334774501241032 48.28115975585006),Elisabethwiese,Elisabethwiese,38A,614,2,
OEFFHALTESTOGD.490165,490165,POINT (16.448589276670017 48.28184541058371),Kainachgasse,Kainachgasse,32A,1873,2,
OEFFHALTESTOGD.490166,490166,POINT (16.431579891084183 48.25379934364293),Veterinärmedizinische Universität,Veterinärmedizinische Universität,27A,1737,2,
OEFFHALTESTOGD.490167,490167,POINT (16.454519535914862 48.250168140670574),Markomannenstraße,Markomannenstraße,24A,839,2,
OEFFHALTESTOGD.490168,490168,POINT (16.44980009552132 48.24845322779936),Kraygasse,Kraygasse,"22A, 24A",716,2,
OEFFHALTESTOGD.490169,490169,POINT (16.32781790923301 48.196761325001596),Goldschlagstraße,Goldschlagstraße,12A,1200,2,
OEFFHALTESTOGD.490170,490170,POINT (16.301863028145462 48.154128324579624),Kunerolgasse,Kunerolgasse,62A,728,2,
OEFFHALTESTOGD.490171,490171,POINT (16.501671969800885 48.25250613396742),Breitenlee Schule,Breitenlee Schule,"24A, 85A, 89A, 97A",1752,2,
OEFFHALTESTOGD.490172,490172,POINT (16.26168664896891 48.21795916154004),Siedlung Kordon,Siedlung Kordon,52B,1243,2,
OEFFHALTESTOGD.490173,490173,POINT (16.30178481761077 48.21404695125384),Ottakringer Friedhof,Ottakringer Friedhof,"46A, 46B",372,2,
OEFFHALTESTOGD.490174,490174,POINT (16.36103250560993 48.17317956109716),Inzersdorfer Straße/Bernhardtstalgasse,Inzersdorfer Straße/Bernhardtstalgasse,7A,1872,2,
OEFFHALTESTOGD.490175,490175,POINT (16.346876632603824 48.23245838599899),Währinger Park,Währinger Park,"35A, 37A, 40A",1509,2,
OEFFHALTESTOGD.490176,490176,POINT (16.443734716719685 48.19660867150716),Aspernallee/Schule,Aspernallee/Schule,"77A, 79B",1867,2,
OEFFHALTESTOGD.490177,490177,POINT (16.30608771366823 48.21083011006597),Rankgasse,Rankgasse,48A,1489,2,
OEFFHALTESTOGD.490178,490178,POINT (16.45008642201452 48.24215824630777),Freihofsiedlung,Freihofsiedlung,94A,353,2,
OEFFHALTESTOGD.490179,490179,POINT (16.533145463468475 48.22007010343447),Gernotgasse,Gernotgasse,"99A, 99B",391,2,
OEFFHALTESTOGD.490180,490180,POINT (16.38358855389246 48.16078325912264),Altes Landgut,Altes Landgut,15A,33,2,
OEFFHALTESTOGD.490181,490181,POINT (16.37537447596667 48.230758560492504),Rauscherstraße,Rauscherstraße,5A,1077,2,
OEFFHALTESTOGD.490182,490182,POINT (16.373133246695687 48.187999680682445),Kolschitzkygasse,Kolschitzkygasse,13A,1019,2,
OEFFHALTESTOGD.490183,490183,POINT (16.280150640302175 48.240342340848535),Marswiese,Marswiese,43A,936,2,
OEFFHALTESTOGD.490184,490184,POINT (16.419052369114617 48.22948422536293),Goethehof,Goethehof,"92A, 92B",411,2,
OEFFHALTESTOGD.490185,490185,POINT (16.449080476435828 48.15238531669508),Zentralfriedhof 3.Tor,Zentralfriedhof 3.Tor,"71A, 71B",1522,2,
OEFFHALTESTOGD.490186,490186,POINT (16.504630383087857 48.238071785777166),Mayredergasse,Mayredergasse,97A,862,2,
OEFFHALTESTOGD.490187,490187,POINT (16.500374694230683 48.20921929329138),Auspitzgasse,Auspitzgasse,98A,1639,2,
OEFFHALTESTOGD.490188,490188,POINT (16.510543772120858 48.20736776404655),Dumreichergasse,Dumreichergasse,98A,1642,2,
OEFFHALTESTOGD.490189,490189,POINT (16.398530312957135 48.24618531068509),Kugelfanggasse,Kugelfanggasse,20A,725,2,
OEFFHALTESTOGD.490190,490190,POINT (16.43200728242406 48.27198873436459),Felmayergasse,Felmayergasse,28A,305,2,
OEFFHALTESTOGD.490191,490191,POINT (16.344647347785855 48.167710607610225),Wienerberg City,Wienerberg City,"65A, 7B",1761,2,
OEFFHALTESTOGD.490192,490192,POINT (16.29186563908345 48.215638303571524),An der Scheibenwiese,An der Scheibenwiese,45A,65,2,
OEFFHALTESTOGD.490193,490193,POINT (16.399260531532637 48.13798501864851),Leopoldsdorfer Straße,Leopoldsdorfer Straße,17A,776,2,
OEFFHALTESTOGD.490194,490194,POINT (16.34433467036169 48.24481516366459),Oberdöbling,Oberdöbling,39A,959,2,
OEFFHALTESTOGD.490195,490195,POINT (16.388834800573235 48.295471657379856),Strebersdorfer Platz,Strebersdorfer Platz,32A,1335,2,
OEFFHALTESTOGD.490196,490196,POINT (16.296237218945038 48.227048503171716),Braungasse,Braungasse,44A,158,2,
OEFFHALTESTOGD.490197,490197,POINT (16.301937131633554 48.18614144335954),Am Platz,Am Platz,"56A, 56B, 58A",45,2,
OEFFHALTESTOGD.490198,490198,POINT (16.26945277963834 48.163711452207345),Buchbindergasse,Buchbindergasse,56A,181,2,
OEFFHALTESTOGD.490199,490199,POINT (16.453788198635216 48.27471160149126),Oswald-Redlich-Straße,Oswald-Redlich-Straße,29A,980,2,
OEFFHALTESTOGD.490200,490200,POINT (16.28966909221082 48.15007140812908),Pensionistenwohnhaus Atzgersdorf,Pensionistenwohnhaus Atzgersdorf,56A,1000,2,
OEFFHALTESTOGD.490201,490201,POINT (16.366143049568194 48.142574767052956),Südrandstraße/Heizwerkstraße,Südrandstraße/Heizwerkstraße,16A,1741,2,
OEFFHALTESTOGD.490202,490202,POINT (16.48157233319261 48.2196240324994),"Aspernstraße, Oberdorfstraße","Aspernstraße, Oberdorfstraße","26A, 97A",958,2,
OEFFHALTESTOGD.490203,490203,POINT (16.328419664358783 48.18692273094987),Grimmgasse,Grimmgasse,57A,159,2,
OEFFHALTESTOGD.490204,490204,POINT (16.417823641068853 48.27240363538702),Ruthnergasse,Ruthnergasse,"30A, 31A, 32A",1133,2,
OEFFHALTESTOGD.490205,490205,POINT (16.302086698403027 48.14736958273517),Josef-Österreicher-Gasse,Josef-Österreicher-Gasse,"60A, 66A",613,2,
OEFFHALTESTOGD.490206,490206,POINT (16.292216505512165 48.17272395946235),Sankt-Hemma-Kirche,Sankt-Hemma-Kirche,"56A, 56B",1149,2,
OEFFHALTESTOGD.490207,490207,POINT (16.396069372401694 48.15506492122158),Kronawettergasse,Kronawettergasse,"68A, 68B",721,2,
OEFFHALTESTOGD.490208,490208,POINT (16.305010489727675 48.23328358014086),Twarochgasse,Twarochgasse,42A,1396,2,
OEFFHALTESTOGD.490209,490209,POINT (16.48328310916611 48.21712912130041),Asperner Heldenplatz,Asperner Heldenplatz,"92A, 97A",89,2,
OEFFHALTESTOGD.490210,490210,POINT (16.307087545243647 48.24391998170218),Khevenhüllerstraße,Khevenhüllerstraße,41A,673,2,
OEFFHALTESTOGD.490211,490211,POINT (16.46200618483305 48.25795927507546),Lieblgasse,Lieblgasse,27A,955,2,
OEFFHALTESTOGD.490212,490212,POINT (16.44859346754502 48.27759560481027),Leopoldau,Leopoldau,"32A, 36B",769,2,
OEFFHALTESTOGD.490213,490213,POINT (16.280472715652202 48.187176063605015),"Unter St. Veit, Verbindungsbahn","Unter St. Veit, Verbindungsbahn","53A, 54A",1422,2,
OEFFHALTESTOGD.490214,490214,POINT (16.487860592946905 48.237127673662805),Am Heidjöchl,Am Heidjöchl,"85A, 95B, 97A",39,2,
OEFFHALTESTOGD.490215,490215,POINT (16.355875118170214 48.22488051306729),Nußdf. Str./Alserbachstr.,Nußdf. Str./Alserbachstr.,40A,29,2,
OEFFHALTESTOGD.490216,490216,POINT (16.484461330809204 48.22111438706056),Goldregengasse,Goldregengasse,97A,1646,2,
OEFFHALTESTOGD.490217,490217,POINT (16.381548124211818 48.23774381788394),Pasettistraße,Pasettistraße,5A,1704,2,
OEFFHALTESTOGD.490218,490218,POINT (16.49925255333557 48.2392380984563),Schukowitzgasse,Schukowitzgasse,"95A, 97A",1258,2,
OEFFHALTESTOGD.490219,490219,POINT (16.239702335775014 48.21123508786945),Stammhausstraße,Stammhausstraße,"49A, 50B",1311,2,
OEFFHALTESTOGD.490220,490220,POINT (16.245137385133937 48.20367000420602),Samptwandnergasse,Samptwandnergasse,49A,1146,2,
OEFFHALTESTOGD.490221,490221,POINT (16.543277177211646 48.21700008316388),Deindorfstraße,Deindorfstraße,98A,226,2,
OEFFHALTESTOGD.490222,490222,POINT (16.27635764205795 48.18252317944746),Gogolgasse,Gogolgasse,54B,412,2,
OEFFHALTESTOGD.490223,490223,POINT (16.52411627597229 48.21233522778973),Schlachthammerstraße,Schlachthammerstraße,88B,1166,2,
OEFFHALTESTOGD.490224,490224,POINT (16.38648025843361 48.26495263928731),Anton-Störck-Gasse,Anton-Störck-Gasse,"36A, 36B",72,2,
OEFFHALTESTOGD.490225,490225,POINT (16.446646798800973 48.233153319116326),Siebenbürgerstraße,Siebenbürgerstraße,94A,1234,2,
OEFFHALTESTOGD.490226,490226,POINT (16.356942650885184 48.175177575203904),Davidgasse/Knöllgasse,Davidgasse/Knöllgasse,7A,225,2,
OEFFHALTESTOGD.490227,490227,POINT (16.316586485766337 48.17411997487475),Hohenfelsplatz,Hohenfelsplatz,"63A, 8A",543,2,
OEFFHALTESTOGD.490228,490228,POINT (16.31315324394021 48.20296583729969),Minciostraße,Minciostraße,12A,877,2,
OEFFHALTESTOGD.490229,490229,POINT (16.29791936416392 48.14390764823615),Atzgersdorf Friedhof,Atzgersdorf Friedhof,60A,92,2,
OEFFHALTESTOGD.490230,490230,POINT (16.449097138244277 48.177982671409275),Bleibtreustraße,Bleibtreustraße,"76A, 76B",146,2,
OEFFHALTESTOGD.490231,490231,POINT (16.29388789362296 48.13001359638884),Josef-Meder-Gasse,Josef-Meder-Gasse,61A,610,2,
OEFFHALTESTOGD.490232,490232,POINT (16.464733090116138 48.22564996984636),Hartlebengasse,Hartlebengasse,26A,476,2,
OEFFHALTESTOGD.490233,490233,POINT (16.28638929124635 48.19505973761809),Linzer Straße/Zehetnergasse,Linzer Straße/Zehetnergasse,47A,1517,2,
OEFFHALTESTOGD.490234,490234,POINT (16.374575419162593 48.222149208550725),Obere Augartenstraße,Obere Augartenstraße,"58B, 5A, 5B",961,2,
OEFFHALTESTOGD.490235,490235,POINT (16.404124302851677 48.2504511106822),Morelligasse,Morelligasse,33A,111,2,
OEFFHALTESTOGD.490236,490236,POINT (16.41201932141396 48.13592185894864),Unterlaaer Straße,Unterlaaer Straße,70A,1411,2,
OEFFHALTESTOGD.490237,490237,POINT (16.390626306246844 48.20270388280956),Rochusgasse,Rochusgasse,"4A, 74A",1104,2,
OEFFHALTESTOGD.490238,490238,POINT (16.44050247764638 48.256175021627115),Jüptnergasse,Jüptnergasse,31A,623,2,
OEFFHALTESTOGD.490239,490239,POINT (16.36669722009353 48.15879324238067),Sibeliusstraße,Sibeliusstraße,66A,1230,2,
OEFFHALTESTOGD.490240,490240,POINT (16.48963172242208 48.21359873255887),Hoechlegasse,Hoechlegasse,98A,1636,2,
OEFFHALTESTOGD.490241,490241,POINT (16.45308043812211 48.157748859225904),Kaiserebersdorfer Friedhof,Kaiserebersdorfer Friedhof,71B,638,2,
OEFFHALTESTOGD.490242,490242,POINT (16.47203680606217 48.154950531303925),"Dreherstraße, Hoefftgasse","Dreherstraße, Hoefftgasse","79A, 79B",667,2,
OEFFHALTESTOGD.490243,490243,POINT (16.215968432116153 48.20694383847887),Wolfgang-Pauli-Gasse,Wolfgang-Pauli-Gasse,"50A, 50B",2003,2,
