FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.489260,489260,POINT (16.252987703044067 48.220072991744374),Dostgasse,Dostgasse,52B,243,2,
OEFFHALTESTOGD.489261,489261,POINT (16.450656114655363 48.15910617946065),Luzegasse,Luzegasse,73A,270,2,
OEFFHALTESTOGD.489262,489262,POINT (16.484333636682372 48.28497710313827),Bhf. Süßenbrunn,Bhf. Süßenbrunn,25A,1357,2,
OEFFHALTESTOGD.489263,489263,POINT (16.35108578690187 48.19528000441649),Esterhazygasse,Esterhazygasse,"13A, 14A, 57A",293,2,
OEFFHALTESTOGD.489264,489264,POINT (16.32603664068009 48.240033779472846),"Döblinger Friedhof, Felix-Dahn-Straße","Döblinger Friedhof, Felix-Dahn-Straße",40A,304,2,
OEFFHALTESTOGD.489265,489265,POINT (16.241201422567375 48.21924660702759),Moschingergasse,Moschingergasse,52A,894,2,
OEFFHALTESTOGD.489266,489266,POINT (16.4803114397052 48.16894185597195),Neu-Albern,Neu-Albern,76A,1692,2,
OEFFHALTESTOGD.489267,489267,POINT (16.318897743188025 48.16318271751151),Rothenburgstraße,Rothenburgstraße,16A,1678,2,
OEFFHALTESTOGD.489268,489268,POINT (16.45507825633069 48.26021166204663),Puchgasse,Puchgasse,25A,1050,2,
OEFFHALTESTOGD.489269,489269,POINT (16.286525391697488 48.19686223772725),Seckendorfstraße,Seckendorfstraße,47A,1014,2,
OEFFHALTESTOGD.489270,489270,POINT (16.46102374668972 48.197401400240416),Dampfkraftwerk Donaustadt,Dampfkraftwerk Donaustadt,92B,220,2,
OEFFHALTESTOGD.489271,489271,POINT (16.52373583837557 48.20803555328061),Wiethestraße,Wiethestraße,88B,1484,2,
OEFFHALTESTOGD.489272,489272,POINT (16.371218878264806 48.24074296399446),Adalbert-Stifter-Str./Jägerstraße,Adalbert-Stifter-Str./Jägerstraße,37A,1511,2,
OEFFHALTESTOGD.489273,489273,POINT (16.301557007381454 48.234991426298905),Schafberg/Werfelstraße,Schafberg/Werfelstraße,42A,1467,2,
OEFFHALTESTOGD.489274,489274,POINT (16.341105701193047 48.17213646426107),Kastanienallee,Kastanienallee,63A,1683,2,
OEFFHALTESTOGD.489275,489275,POINT (16.283546551053526 48.22462353909422),Kretschekgasse,Kretschekgasse,44A,139,2,
OEFFHALTESTOGD.489276,489276,POINT (16.418714743059986 48.188328453933345),Modecenterstraße,Modecenterstraße,72A,881,2,
OEFFHALTESTOGD.489277,489277,POINT (16.288609008190097 48.21326094788557),Pönningerweg,Pönningerweg,"46A, 46B",1055,2,
OEFFHALTESTOGD.489278,489278,POINT (16.283331939938403 48.13485683936333),Liesing,Liesing,"60A, 61A",788,2,
OEFFHALTESTOGD.489279,489279,POINT (16.402354153181893 48.22054322656793),Erlafstraße,Erlafstraße,82A,1901,2,
OEFFHALTESTOGD.489280,489280,POINT (16.452973662316317 48.229634985767156),Erzherzog-Karl-Straße,Erzherzog-Karl-Straße,26A,288,2,
OEFFHALTESTOGD.489281,489281,POINT (16.26035648710834 48.16034195053972),Nästlbergergasse,Nästlbergergasse,56A,952,2,
OEFFHALTESTOGD.489282,489282,POINT (16.33066887532145 48.23707276614356),Borkowskigasse,Borkowskigasse,40A,153,2,
OEFFHALTESTOGD.489283,489283,POINT (16.338605102822978 48.14264741898894),Adamovichgasse,Adamovichgasse,"67A, 67B",5,2,
OEFFHALTESTOGD.489284,489284,POINT (16.32698189165947 48.18042652054612),Haschkagasse,Haschkagasse,"7A, 9A",1126,2,
OEFFHALTESTOGD.489285,489285,POINT (16.448619701550065 48.26839938934677),Wassermanngasse,Wassermanngasse,29A,1451,2,
OEFFHALTESTOGD.489286,489286,POINT (16.470124063631985 48.20854876525589),Schütthäufel,Schütthäufel,95A,1207,2,
OEFFHALTESTOGD.489287,489287,POINT (16.423387607185223 48.27774431786093),Marco-Polo-Promenade,Marco-Polo-Promenade,"36A, 36B",999,2,
OEFFHALTESTOGD.489288,489288,POINT (16.37845742289178 48.1991617436328),Lisztstraße,Lisztstraße,4A,804,2,
OEFFHALTESTOGD.489289,489289,POINT (16.25773547129465 48.137483162826015),"Willergasse, Liesingbrücke","Willergasse, Liesingbrücke",60A,198,2,
OEFFHALTESTOGD.489290,489290,POINT (16.27886316143501 48.20366219192514),Flötzersteig,Flötzersteig,47A,338,2,
OEFFHALTESTOGD.489291,489291,POINT (16.507228401801736 48.20821493700656),Leidlweg,Leidlweg,98A,1641,2,
OEFFHALTESTOGD.489292,489292,POINT (16.293467300102666 48.145417335502756),Knotzenbachgasse,Knotzenbachgasse,66A,694,2,
OEFFHALTESTOGD.489293,489293,POINT (16.39157771447353 48.199184961818226),Ziehrerplatz,Ziehrerplatz,4A,1548,2,
OEFFHALTESTOGD.489294,489294,POINT (16.34467345764699 48.16883155630672),Carl-Appel-Straße,Carl-Appel-Straße,7B,1816,2,
OEFFHALTESTOGD.489295,489295,POINT (16.329687469171432 48.19331192476154),Grenzgasse,Grenzgasse,12A,437,2,
OEFFHALTESTOGD.489296,489296,POINT (16.369116816974724 48.282050617942424),Lohnergasse,Lohnergasse,34A,810,2,
OEFFHALTESTOGD.489297,489297,POINT (16.288983623141583 48.1482091866822),Atzgersdorf,Atzgersdorf,56A,94,2,
OEFFHALTESTOGD.489298,489298,POINT (16.383495913191297 48.27019620599334),Jedleseer Friedhof,Jedleseer Friedhof,34A,797,2,
OEFFHALTESTOGD.489299,489299,POINT (16.42831694173631 48.16176730155237),Weißenböckstraße,Weißenböckstraße,69A,1463,2,
